subject,gvalid,gneutral,ginvalid,b1valid,b1neutral,b1invalid,b2valid,b2neutral,b2invalid,sdvalid,sdneutral,sdinvalid,muvalid,muneutral,muinvalid,tvalid,tneutral,tinvalid
1,0.086396055,0.075483417,0.081413421,0.017615612,0.042954993,0.1933831,0.010116226,0.043460615,0.034469762,15.01863974,16.28376689,16.63681454,-1.247035832,0.45216005,-2.386130245,0.885872107,0.838100974,0.690733717
2,0.045780456,0.063558098,0.188164503,0.013579613,0.007258895,0.374800101,0.009272832,0.024794744,0.070295858,20.19470204,19.88384756,23.84583219,0.331681481,-4.603693835,-14.27047088,0.9313671,0.904388263,0.366739539
3,0.071713496,0.062082554,0.180446687,0.008632438,0.008097644,0.109881782,0.012452882,0.017638099,0.014878032,17.05690864,18.08860069,16.58710218,-2.503830761,-0.130972091,-1.218403571,0.907201184,0.912181702,0.694793499
4,0.007000995,0.020768646,0.332832577,0.005005764,0.003917696,0.04001518,0.009734788,0.013286824,0.035582823,14.24135613,14.78354967,19.98584808,-0.082843877,0.684388431,-3.903548692,0.978258452,0.962026835,0.59156942
5,0.052540779,0.095845887,0.124641659,0.02539083,0.050889131,0.498516624,0.011037747,0.01933273,0.011331055,19.39538224,20.82798196,23.8626238,-1.83557358,4.166364367,-5.770405558,0.911030644,0.833932252,0.365510662
6,0.026145942,0.008921351,0.05796005,0.007030986,0.033229076,0.030666524,0.019618718,0.009706064,0.02279828,21.45235467,22.54287794,26.51000833,4.034377845,0.297030037,-4.238315194,0.947204354,0.94814351,0.888575147
7,0.06148777,0.038586146,0.12633928,0.008190233,0.015211337,0.05433965,0.023779961,0.048685828,0.031777639,15.13596257,14.35611056,14.43780268,0.897362763,0.086621486,1.043368204,0.906542037,0.897516688,0.787543431
8,0.007848302,0.013502386,0.156629,0.006551286,0.047192188,0.086206318,0.015367027,0.013330365,0.032401699,16.55793949,19.26524326,21.31084105,-0.790210491,-0.820572683,-3.571063359,0.970233385,0.92597506,0.724762984
9,0.088791893,0.083800183,0.281160355,0.018688849,0.038231646,0.016362004,0.018079758,0.037819438,0.072396217,21.98947392,21.47139583,23.36497738,0.946020663,0.477591991,-4.20811395,0.874439499,0.840148732,0.630081424
10,0.015050695,0.043308192,0.137751924,0.00402662,0.013022227,0.084442768,0.007673408,0.013373827,0.008875736,14.73541554,17.19031532,20.85131918,1.345733073,0.356856898,0.940999032,0.973249278,0.930295754,0.768929572
11,0.120866295,0.119965447,0.247145135,0.01146853,0.018284974,0.20993087,0.028095017,0.012510111,0.008702999,16.70167367,17.51678018,19.81973381,-0.525088023,1.450759725,2.889375136,0.839570158,0.849239468,0.534220995
12,0.008105782,0.006484614,0.046907296,0.00553086,0.004222884,0.030391323,0.005084669,0.00633256,0.027272331,14.39388422,15.86360402,19.15045721,-2.751890559,0.408802494,-3.030401873,0.981278689,0.982959942,0.89542905
14,0.010144804,0.012355538,0.02292611,0.007052335,0.005915182,0.021549273,0.019573837,0.005153092,0.049814577,14.18648023,13.77614423,15.71745193,-0.233117853,-0.16479841,-2.721022301,0.963229024,0.976576188,0.90571004
15,0.006265008,0.038378387,0.072090048,0.019010434,0.012690055,0.06707525,0.003991209,0.013353076,0.080357233,17.39221901,15.70482645,20.58759036,1.834834829,1.616673082,1.468971672,0.970733349,0.935578482,0.780477469
16,0.099513312,0.322056,0.371132158,0.030495576,0.082918981,0.38670019,0.063428182,0.030427193,0.01001745,15.35805852,14.07402415,18.62629455,-0.975720326,-0.741278953,-8.331390155,0.80656293,0.564597826,0.232150202
17,0.091973547,0.118369046,0.10020286,0.008184236,0.025923323,0.156007046,0.008132708,0.031911981,0.052921833,15.63597578,15.97065126,18.99753687,0.949341106,-1.712623775,-1.045313596,0.891709509,0.82379565,0.69086826
18,0.028768596,0.019650543,0.066280525,0.008540406,0.00474403,0.011485398,0.004972988,0.005326306,0.00951156,14.60340088,15.34990015,20.71696974,1.068611921,0.225397185,-0.602478512,0.95771801,0.970279122,0.912722516
19,0.048003899,0.103830554,0.121997094,0.018634878,0.029285073,0.137023844,0.038972215,0.058166181,0.032429451,16.26767044,16.01497824,17.12832269,1.315015749,1.755688379,-3.370536772,0.894389008,0.808718192,0.708549611
20,0.026264042,0.031734032,0.028054293,0.010029524,0.010224179,0.030896108,0.009492086,0.00688949,0.013830686,11.49301883,13.16090856,13.82470928,-1.599245589,-0.294525785,-1.221079458,0.954214347,0.951152299,0.927218912
21,0.031365103,0.168462478,0.067401934,0.019804034,0.052162319,0.447586443,0.024919811,0.065788447,0.03342266,14.69030627,13.40616931,16.23743578,-0.102265975,-1.368304759,0.008034174,0.923911053,0.713586757,0.451588962
22,0.059897332,0.088683726,0.157564368,0.040599483,0.013285512,0.574500436,0.018767013,0.015553206,0.008525937,14.81756852,17.6617185,19.67050727,3.080080682,-0.162841983,-3.835682949,0.880736172,0.882477555,0.25940926
23,0.037536043,0.015098493,0.014096283,0.003860014,0.006712784,0.044545698,0.008633599,0.024139236,0.004704399,16.90211478,17.72096307,18.27546343,-1.887881529,1.224365246,-2.485021688,0.949970344,0.954049487,0.93665362
24,0.316737522,0.403479347,0.419450907,0.028797625,0.076678763,0.456487765,0.020848689,0.10529919,0.020995683,14.66676061,21.89825042,17.88019162,-2.240964063,1.121099802,2.413108761,0.633616164,0.414542701,0.103065645
25,0.025163723,0.011353462,0.219398932,0.010121375,0.034933777,0.152601498,0.006905993,0.005834918,0.039195304,15.07864027,17.28264575,32.56011335,0.529646247,-1.458888055,-2.365684529,0.957808908,0.947877843,0.588804266
26,0.011959667,0.007957566,0.023315875,0.032586037,0.004743652,0.027304631,0.026082835,0.004282293,0.015911817,13.46552756,13.96766719,15.88634309,0.025625154,1.017259119,1.234523599,0.929371461,0.983016488,0.933467676
27,0.096905753,0.234725042,0.472938414,0.011853685,0.047275386,0.188333679,0.00811035,0.014383688,0.036739693,15.38683266,20.76487942,25.56408529,-0.223859111,0.98784543,-5.396493888,0.883130212,0.703615884,0.301988214
