subject,muvalid,gvalid,b1valid,b2valid,sdvalid,muneutral,gneutral,b1neutral,b2neutral,sdneutral,muinvalid,ginvalid,b1invalid,b2invalid,sdinvalid,tvalid,tneutral,tinvalid
1,0.104215445,0.013137027,0.005059451,0.009122177,14.03293564,1.69343862,0.071261199,0.044548844,0.026343438,15.71867744,2.622832791,0.091658616,0.169099439,0.022423572,18.61692264,0.972681346,0.857846519,0.716818374
2,1.25665482,0.03018503,0.008621582,0.010767214,17.14116094,2.665597404,0.15080649,0.087401435,0.056157037,18.17095479,2.225863068,0.304095228,0.165723627,0.016009142,19.18085937,0.950426174,0.705635038,0.514172003
3,2.987131713,0.021687655,0.01317148,0.005455906,16.78110892,1.191846962,0.017542844,0.01192301,0.020609793,18.97506729,-4.940981404,0.211250202,0.122055886,0.032373298,20.00381528,0.959684959,0.949924353,0.634320613
5,0.490603653,0.05223651,0.026698423,0.032818866,16.90834717,-1.727019926,0.243612968,0.067970173,0.037407503,18.64751959,-5.600970424,0.1162762,0.294553636,0.019679528,26.78709296,0.8882462,0.651009357,0.569490636
6,1.404094975,0.03368207,0.00931364,0.019472778,16.3917938,1.219332696,0.084346895,0.031343768,0.031999627,18.94838157,-0.647358692,0.361393444,0.197322375,0.038798351,16.10091223,0.937531513,0.85230971,0.40248583
7,-1.928833242,0.036476147,0.011919318,0.032944724,17.84149048,-1.303299269,0.020347174,0.035601492,0.040780456,17.29588946,-0.810932236,0.122719212,0.167796054,0.013197371,18.66623621,0.918659812,0.903270879,0.696287363
10,-0.030580888,0.032256381,0.021270179,0.010161783,16.40312943,0.080186629,0.163779313,0.055846779,0.059933399,15.32507178,-6.413158683,0.027023597,0.652675064,0.014384089,19.73681848,0.936311657,0.720440509,0.305917251
13,-0.84421604,0.014299786,0.01115764,0.00680366,16.33571125,1.485475126,0.011575028,0.005942336,0.023159052,16.49949466,0.350433161,0.059592858,0.020792706,0.036561402,18.01372103,0.967738915,0.959323583,0.883053033
16,0.135279537,0.060995556,0.046036316,0.033138376,14.63436053,-2.707466857,0.011445362,0.018270173,0.017410164,12.32327129,-0.792389729,0.111192562,0.01254641,0.029728614,14.8528147,0.859829751,0.9528743,0.846532414
17,3.565107126,0.048209181,0.045997345,0.008139484,15.6484072,3.221798466,0.209095175,0.016280381,0.035866362,22.28092172,-17.69529892,0.251413933,0.516265979,0.02558627,17.39780756,0.897653989,0.738758082,0.206733819
18,-0.782426554,0.043129427,0.034324167,0.02789534,17.45615302,1.433429052,0.17702314,0.022772006,0.031273337,24.52589777,-5.301539234,0.248907214,0.223886254,0.131648422,22.31762821,0.894651066,0.768931517,0.39555811
19,-0.191691785,0.047532039,0.01175558,0.007551506,17.16871314,-2.155415441,0.261917332,0.031315941,0.02250268,17.47177446,0.13691771,0.402028037,0.13976511,0.021974228,19.80447989,0.933160875,0.684264047,0.436232625
20,-1.987409821,0.014618977,0.004267156,0.004217107,15.97945281,-0.141908303,0.096524609,0.028627062,0.014647073,17.17127471,1.868213561,0.35126947,0.024317404,0.026984949,21.48797076,0.976896761,0.860201255,0.597428177
21,0.986848572,0.090414607,0.032346174,0.018580443,15.61017335,0.769789712,0.057947646,0.012273568,0.016378727,14.83522139,-3.259603872,0.181794858,0.12042418,0.048093478,14.58864275,0.858658776,0.913400059,0.649687484
22,-3.945677062,0.016631642,0.011646328,0.011271258,26.17559353,7.256886074,0.314945211,0.07686468,0.080041229,49.93035234,8.535026325,0.023766733,0.904285606,0.008554502,33.13126315,0.960450772,0.528148881,0.06339316
23,-3.670159003,0.010267139,0.016963547,0.019741229,18.14354948,-0.545927725,0.034881924,0.016317014,0.014391697,17.04864373,0.836576785,0.08656178,0.026842843,0.025201025,21.03721484,0.953028085,0.934409365,0.861394352
24,-1.327004546,0.02759429,0.009319863,0.0086386,17.17980046,-3.084683935,0.294833869,0.012715441,0.0297273,20.98654981,-8.329333316,0.561560941,0.087819099,0.032827824,24.27719106,0.954447246,0.66272339,0.317792136
25,0.677715,0.013510268,0.012122513,0.010606045,12.75681627,0.041667046,0.120640635,0.027120776,0.026761074,16.25410938,1.095553478,0.189545101,0.648044208,0.033476706,17.49380262,0.963761174,0.825477515,0.128933985
28,0.867042642,0.009600762,0.008401974,0.015907898,14.9937115,-1.856962872,0.041442547,0.031847869,0.033752417,16.15722791,-0.924412556,0.107104682,0.151098953,0.033948039,20.07835415,0.966089366,0.892957167,0.707848325
29,1.845817413,0.41060363,0.038773365,0.054166065,18.2880795,-3.199172155,0.349225946,0.037628329,0.015385125,15.99892602,-0.988736749,0.345393576,0.136100639,0.101211968,18.70195783,0.496456939,0.597760599,0.417293816
31,-1.079772282,0.01292727,0.007941446,0.013107681,19.13024796,-1.227152849,0.113697793,0.022527398,0.016343126,19.15124918,0.435207195,0.258851767,0.236670537,0.009334124,18.03161802,0.966023603,0.847431683,0.495143572
32,-2.049797036,0.015348063,0.011404128,0.009788816,14.20972217,2.065556697,0.033630726,0.016665648,0.036372754,14.89299855,-2.51283943,0.263511689,0.070025861,0.023908795,18.28106869,0.963458993,0.913330872,0.642553654
34,2.38226262,0.483694588,0.080413075,0.02316155,32.95137689,-0.066768125,0.431770858,0.087988878,0.027016383,36.43415404,-7.775797229,0.773428014,0.023943453,0.052620605,14.02176499,0.412730787,0.453223881,0.150007928
35,1.28486116,0.011429462,0.007194145,0.015714599,15.54867165,0.308918296,0.036735481,0.019661341,0.01461285,14.67911931,-0.624841743,0.073126602,0.022748986,0.031901627,17.23677269,0.965661794,0.928990328,0.872222785
36,0.82514514,0.042974116,0.030044569,0.035397175,21.9118145,1.42018171,0.259102141,0.050958096,0.074289947,26.45276376,-7.654027053,0.216263905,0.345321288,0.065109147,24.88044714,0.891584139,0.615649816,0.373305659
37,3.53014921,0.065795204,0.00802841,0.019076067,12.378835,-1.806786457,0.144864073,0.011914532,0.026118569,13.27973073,5.26374815,0.096148549,0.226278236,0.03190273,15.33254703,0.907100319,0.817102825,0.645670486
38,0.349412472,0.306613236,0.023499282,0.027314567,13.76610066,-1.466646707,0.315955427,0.097566999,0.037423089,16.88552679,-5.386501483,0.214936438,0.509336801,0.084500905,19.88951573,0.642572915,0.549054485,0.191225856
