subject,mu_v_lowcof,g_v_lowcof,b1_v_lowcof,b2_v_lowcof,sd_v_lowcof,mu_v_highcof,g_v_highcof,b1_v_highcof,b2_v_highcof,sd_v_highcof,mu_n_lowcof,g_n_lowcof,b1_n_lowcof,b2_n_lowcof,sd_n_lowcof,mu_n_highcof,g_n_highcof,b1_n_highcof,b2_n_highcof,sd_n_highcof,mu_i_lowcof,g_i_lowcof,b1_i_lowcof,b2_i_lowcof,sd_i_lowcof,mu_i_highcof,g_i_highcof,b1_i_highcof,b2_i_highcof,sd_i_highcof
1,4.987335089,0.026769824,0.013521799,0.011359896,12.89200213,0.716560557,0.023913443,0.009332727,0.010326316,14.42739236,0.690308858,0.062883473,0.112807263,0.023931654,13.41325386,0.122341928,0.056924194,0.022869831,0.034999622,18.48720358,1.004786083,0.099976177,0.099201482,0.015437855,19.97227928,4.582131956,0.086590231,0.225001217,0.056176127,17.78451878
2,1.883729943,0.023151696,0.02124676,0.012317506,18.775515,-0.582118177,0.041378993,0.014723719,0.018240866,15.22020317,5.110057865,0.202569714,0.068068466,0.069146281,22.84622483,1.438306503,0.086566743,0.092989429,0.084592069,15.85779187,5.553072559,0.409889845,0.077638027,0.038632263,27.60012914,0.499294115,0.143345356,0.249047344,0.024468516,19.18632303
3,2.940157665,0.045775099,0.026841144,0.015618754,17.11078694,2.397649474,0.017782811,0.012321725,0.012393979,16.37531695,3.509920738,0.037331177,0.025834809,0.015729258,19.84192328,-3.919075713,0.018704319,0.022084772,0.020852999,17.22702844,-2.423196245,0.151650953,0.099101574,0.041256371,23.48363627,-5.415255394,0.283727447,0.115772677,0.042403333,17.70292181
4,-2.332449296,0.07182306,0.033571913,0.039115578,19.70154453,-2.075066132,0.025760025,0.053843542,0.012024778,15.53462117,1.867652006,0.08098647,0.098069074,0.122426267,19.01048164,6.449589261,0.277074494,0.084801904,0.020193711,17.65365226,-6.149952012,0.111122804,0.322547082,0.038277533,35.28351051,-1.224420026,0.172453797,0.258681567,0.023955125,21.96531265
5,1.7372486,0.051746275,0.011171458,0.033155479,16.38229525,2.708928964,0.024638936,0.022525986,0.012327954,15.47067302,-3.140591187,0.061758967,0.020134532,0.05847909,21.24469299,-1.961093493,0.101000809,0.030880745,0.047547226,18.88668126,-4.79850073,0.443427612,0.145162733,0.036130296,28.44878916,2.404662715,0.137223853,0.269999603,0.110453716,15.98983743
6,1.157000592,0.07200335,0.036320543,0.021327748,21.82495222,-0.963271389,0.025847746,0.010038729,0.028861614,15.64287376,1.275759794,0.029679272,0.042107155,0.01885032,18.0910269,-4.285265277,0.027388902,0.021916495,0.08702255,16.25256319,-3.292415288,0.163200817,0.124388123,0.017492853,20.21390751,0.230756752,0.092503165,0.196622031,0.036643979,16.56366515
7,-1.035341738,0.037523643,0.033212178,0.016045507,15.34347673,0.778321418,0.041792874,0.012310672,0.027079282,16.83500115,0.289515792,0.106646186,0.059602409,0.083108238,18.51880567,3.678623659,0.211813261,0.045325114,0.06824036,13.23542652,-9.027287529,0.059405123,0.562280039,0.027800981,19.45116748,-3.854981495,0.053982197,0.656653128,0.019243417,19.1783354
8,1.265290633,0.025098493,0.017142025,0.015992608,16.65294093,-1.589588551,0.017925753,0.011182507,0.021981947,16.91192116,0.335421863,0.020412071,0.013578835,0.02206915,17.8868144,-1.402718741,0.026344587,0.023079548,0.012925172,16.00374006,-0.533140782,0.032598578,0.024707392,0.053854171,14.66056788,1.505922573,0.086339041,0.027963928,0.024330875,21.61039815
9,-0.04594338,0.05067112,0.045838079,0.073922682,16.7808484,-2.621639507,0.086297878,0.025444333,0.045700547,12.82451109,-4.001576928,0.023802325,0.041282116,0.016692929,12.71682663,-1.317102452,0.014138031,0.015072993,0.028489823,12.25003057,2.309247206,0.200954733,0.02249214,0.03213231,13.26862701,-3.985568348,0.022546793,0.018013116,0.031634141,15.61905395
10,1.967081755,0.035013541,0.033300617,0.070605788,19.02805378,0.764210414,0.08146474,0.014124297,0.034366081,14.25458029,5.985480176,0.182758326,0.024146097,0.041363254,25.14063177,-1.543612927,0.201912493,0.035676493,0.040465124,19.77958209,-18.23045613,0.29915093,0.32671495,0.057705178,27.37971568,-13.49457294,0.143859124,0.682902425,0.03863965,15.3980257
